day_avg_dwell,day_of_week,lat,long,off,on,route,stop_name,total,trip_avg_dwell,unique_stop_number
10.3,WEEKDAY,39.944404,-82.871663,25,4,1,E LIVINGSTON AVE & SHADY,30,0.1,1956
7.7,WEEKDAY,39.955265,-82.870903,19,9,2,E MAIN ST & SHADY LANE R,28,0.2,1962
0.6,WEEKDAY,39.952514,-82.990577,0,1,8,E LIVINGSTON AVE & S 6TH,1,0.0,1911
10.1,WEEKDAY,39.952435,-82.988658,14,17,1,E LIVINGSTON AVE & S GRA,31,0.1,1912
5.2,WEEKDAY,39.952422,-82.988688,3,10,4,E LIVINGSTON AVE & S GRA,12,0.1,1912
3.2,WEEKDAY,39.952415,-82.988687,1,4,8,E LIVINGSTON AVE & S GRA,6,0.1,1912
21.4,WEEKDAY,39.949234,-82.959883,15,38,1,E LIVINGSTON AVE & KELTO,53,0.3,1913
14.4,WEEKDAY,39.952274,-82.983303,31,9,8,E LIVINGSTON AVE & PARSO,40,0.4,2013
20.8,WEEKDAY,39.952525,-82.988659,34,16,1,E LIVINGSTON AVE & S GRA,50,0.3,2015
11.7,WEEKDAY,39.952512,-82.988701,12,7,4,E LIVINGSTON AVE & S GRA,18,0.2,2015
7.6,WEEKDAY,39.95251,-82.988702,7,3,8,E LIVINGSTON AVE & S GRA,10,0.2,2015
4.6,WEEKDAY,39.952978,-82.993117,6,3,1,E LIVINGSTON AVE & MOHAW,9,0.1,2016
15.1,WEEKDAY,39.94974,-82.970332,35,49,1,E LIVINGSTON AVE & S CHA,85,0.2,2008
25.1,WEEKDAY,39.949818,-82.9718,53,44,1,E LIVINGSTON AVE & S OHI,97,0.3,2009
28.7,WEEKDAY,39.951768,-82.980602,21,26,1,E LIVINGSTON AVE & ANN S,47,0.4,2012
26.9,WEEKDAY,39.952351,-82.983235,63,32,1,E LIVINGSTON AVE & PARSO,95,0.3,2013
18.8,WEEKDAY,39.952263,-82.98333,38,16,4,E LIVINGSTON AVE & PARSO,54,0.4,2013
12.3,WEEKDAY,39.946741,-82.91181,9,24,23,E LIVINGSTON AVE & S HAM,33,0.2,1984
75.3,WEEKDAY,39.946924,-82.915218,53,137,1,E LIVINGSTON AVE & S JAM,190,1.0,1985
73.6,WEEKDAY,39.946961,-82.9152,48,117,23,E LIVINGSTON AVE & S JAM,165,1.1,1985
7.4,WEEKDAY,39.947088,-82.918534,5,19,1,E LIVINGSTON AVE & KENIL,24,0.1,1986
1.4,WEEKDAY,39.947674,-82.929303,1,3,1,E LIVINGSTON AVE & VERNO,3,0.0,1990
1.4,WEEKDAY,39.960153,-82.952485,0,3,11,BRYDEN RD & FAIRWOOD AVE,3,0.1,2041
2.4,WEEKDAY,39.960244,-82.986748,3,3,11,E TOWN ST & S WASHINGTON,6,0.1,2055
4.5,WEEKDAY,39.959974,-82.989943,7,6,11,E TOWN ST & S GRANT AVE,12,0.2,2065
2.5,WEEKDAY,39.960346,-82.986606,4,1,11,E TOWN ST & S WASHINGTON,5,0.1,2066
1.5,WEEKDAY,39.960642,-82.983544,2,1,11,E TOWN ST & LESTER DR,3,0.1,2067
9.7,WEEKDAY,39.94657,-82.910188,28,7,1,E LIVINGSTON AVE & ZETTL,35,0.1,1945
5.1,WEEKDAY,39.946568,-82.910172,17,5,23,E LIVINGSTON AVE & ZETTL,22,0.1,1945
17.3,WEEKDAY,39.946314,-82.905475,77,22,1,E LIVINGSTON AVE & BARNE,99,0.2,1946
